trial,mode,seed,cycles,burst_prob,burst_scale,drift_rate,noise_scale,shock_prob,shock_scale,admissions,denials,latch_events,first_latch_cycle,intervention_precision,resid_p95,resid_p99
0,raw_v2,42,928,0.012751183074493362,2.1075967506180935,0.004464214762976455,0.15256481854952222,0.013533989748458226,6.460897838524227,69,859,859,0,0.0,1.31157126406586,2.4588324308172647
0,scout_v2,42,928,0.012751183074493362,2.1075967506180935,0.004464214762976455,0.15256481854952222,0.013533989748458226,6.460897838524227,67,861,861,0,0.4020618556701031,0.8,0.8
1,raw_v2,7961,1761,0.06385843392837261,3.9847339553702836,0.014082918691878178,0.1797200130918935,0.0028078832853274662,2.927222244366344,50,1711,1711,0,0.0,1.6474442488215566,2.3623531593138978
1,scout_v2,7961,1761,0.06385843392837261,3.9847339553702836,0.014082918691878178,0.1797200130918935,0.0028078832853274662,2.927222244366344,50,1711,1711,0,0.21428571428571427,0.8,0.8
2,raw_v2,15880,1718,0.06293597216896515,3.5441551914833473,0.006950811448180992,0.193515629896576,0.01639192088271127,3.600544923820584,41,1677,1677,0,0.0,1.7455751492967087,2.335873022966549
2,scout_v2,15880,1718,0.06293597216896515,3.5441551914833473,0.006950811448180992,0.193515629896576,0.01639192088271127,3.600544923820584,41,1677,1677,0,0.19480519480519481,0.8,0.8
3,raw_v2,23799,725,0.04884265057597247,1.9524931888613597,0.005317923000657194,0.05081757081860799,0.016128216207375767,6.785774213546462,150,575,575,0,0.0,1.0689053615664355,1.1462515715323573
3,scout_v2,23799,725,0.04884265057597247,1.9524931888613597,0.005317923000657194,0.05081757081860799,0.016128216207375767,6.785774213546462,150,575,575,0,0.5125,0.8,0.8
4,raw_v2,31718,1426,0.05623269335791482,3.4048560283442937,0.010011762019600091,0.04605661770497417,0.005421705942322117,5.2099171433193385,306,1120,1120,0,0.0,1.0621933321597257,1.1459413532931382
4,scout_v2,31718,1426,0.05623269335791482,3.4048560283442937,0.010011762019600091,0.04605661770497417,0.005421705942322117,5.2099171433193385,306,1120,1120,0,0.5652173913043478,0.8,0.8
5,raw_v2,39637,725,0.019030765190223904,2.1483275405014846,0.009710164371385973,0.12518457765430285,0.017485669342360153,6.455110239569736,77,648,648,0,0.0,1.232198386701822,1.4090770816099936
5,scout_v2,39637,725,0.019030765190223904,2.1483275405014846,0.009710164371385973,0.12518457765430285,0.017485669342360153,6.455110239569736,77,648,648,0,0.5542168674698795,0.8,0.8
6,raw_v2,47556,1146,0.05284879499973435,3.9299233318762177,0.00400773645245859,0.12421610716649834,0.005235409552423591,2.936036744419252,130,1016,1016,0,0.0,1.2673157132782147,1.686868225172777
6,scout_v2,47556,1146,0.05284879499973435,3.9299233318762177,0.00400773645245859,0.12421610716649834,0.005235409552423591,2.936036744419252,131,1015,1015,0,0.5785714285714286,0.8,0.8
7,raw_v2,55475,1518,0.04746102140049709,3.032821527137557,0.0010804506483107913,0.08743332798173864,0.007593804029734655,6.753828980910512,244,1274,1274,0,0.0,1.1529899056406319,1.4880929746806717
7,scout_v2,55475,1518,0.04746102140049709,3.032821527137557,0.0010804506483107913,0.08743332798173864,0.007593804029734655,6.753828980910512,241,1277,1277,0,0.5359477124183006,0.8,0.8
